A.W TRADE IMPEX LLP,"204 2nd Floor Chandan Chambers, 138, Modi St, Borabazar Precinct, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India"
AADHI EXPORTS,
AARGEE ASSOCIATES,"MINI INDUSTRIAL ESTATE, PLOT NO .5, near POLICE STATION, Manarcadu, Kerala 686019, India"
AARON AGENCIES,
AARONS,
AASHA BIOCHEM,"Chorode Panchayath, Chorode, Vatakara, Kerala 673104, India"
AAZRA MARINE INDUSTRIES,"Bharath Sea Foods Complex, Chandiroor, Alleppey, Kerala 688547, India"
AB MAURI INDIA P.LTD.,
ABAD EXIM P. LTD.,
ABAD FISHERIES,"Kochangadi, Chullickal, Kochi, Kerala 682002, India"
ABAD OVERSEAS,"1B, Amudalapalli village, nizampatnam, 157/1A, Guntur, Amudalapalli, Andhra Pradesh 522314, India"
ABB LTD.,
ABC GARMENTS,
ABC INTERNATIONAL,
ABI SOURCING,
ABIRAMI EXPORTS,"Shop No.424, Thadagam Main Rd, Near Milk Society Bus Stop, Near Milk Company, R.S. Puram, Coimbatore, Tamil Nadu 641002, India"
ABISHA EXPORTS,
ABISHEK EXPORTS,"No.9/76F, South Neervakuzhi, Kanyakumari, Palappallam, Tamil Nadu 629159, India"
ABLA IMPEX P.LTD.,
ABM MARINE PRODUCTS,"19/2084-E, Nambiapuram Rd, Palluruthy, Kochi, Kerala 682006, India"
ABN TRADERS,
ABUFAIZAL EXPORTS,
ACCELERATED FREEZE DRYING CO LTD.,"Accelerated Freeze Drying Co. Ltd. (AFDC, R7CX+HQ6 P.O, Eramallur Ezhupunna Rd, Eramalloor, Ezhupunna, Kerala 688537, India"
ACCOLADE INTERNATIONAL INC.,"6/A, Jagannath Bhatankar Marg, Tata Mill Chawl, Gautam Nagar, Mumbai, Maharashtra 400014, India"
ACCURATE SYSTEMS,
ACE MANUFACTURING SYSTEMS LTD.,"467-469, 12th Cross Rd, 4th Phase, Peenya Industrial Area, Peenya Industrial Area Phase IV, Peenya, Bengaluru, Karnataka 560058, India"
ACHAL CASHEWS P. LTD.,
ACHUTHA ENTERPRISES,"bus stop, opp. malagala, 8 Block, Malagala, Marilingappa Extension, Naagarabhaavi, Bengaluru, Karnataka 560091, India"
ACME CLOTHING,
ACTIVE CHAR PRODUCTS P.LTD.,"Binanipuram, Edayar, Kochi, Kerala 683502, India"
ACTUAL TRADERS,
ADANI FOOD PRODUCTS,
ADARSH KNITWEAR P.LTD.,
ADD PRINT(INDIA)ENTERPRISES P.LTD.,India
ADHINATH TEXTILES MILLS,
ADHIRA EXPORTS,
ADHUVIKHA EXPORTS,
ADIDEV GROUP OF INDUSTRIES,"B No. B, 36, Ratanba School Rd, Bhagyoday Society, Thakkarbapanagar, Nikol, Ahmedabad, Gujarat 382350, India"
ADIL TEXTILES PVT LTD,"Mangalam, Tamil Nadu 641663, India"
ADITI CREATION,"40, South St, Pethi Chetti Puram, Rayapuram, Tiruppur, Tamil Nadu 641601, India"
ADITYA BIRLA BUVO LTD.,
ADITYA TRADING CO.,
ADONIS MARKETING,
ADORN GLASS ART,"Near Pampady Gramapanchayth, NH- 220, Pampady Road, Pampady, Kottayam, Pampady, Kerala 686502, India"
ADRASH KNITWEAR,"No: 1/H, Avinashi - Tiruppur Rd, near BBC Petrol Pump, Thaneerpanthal, Anupparpalayam Pudur, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India"
ADVANCE FINE MATERIALS,
ADVENT FOUNDRY & ALLIED SUPPLIES P.LTD.,
ADVENT FOUNDRY&ALLIED SUPPLES P.LTD.,
ADVENT STONE CALIBARATION P.LTD.,
ADVIN INTERNATIONAL,
ADWAITH LAKSHMI INDUSTRIES LTD.,"114 A, Senthottam, Sowri Palayam, Coimbatore, Tamil Nadu 641028, India"
AEON COMMODITIES,"11, RN Mukherjee Rd, Lal Bazar, Kolkata, West Bengal 700001, India"
AERATH BUSINESS CORPORATION,
AFEEF CASHEW,
AFH INTERNATIONAL TRADING  P.LTD.,
AGAPPE DIAGNOSTICS LTD.,"Agappe Hills, Pattimattom PO, Kochi, Kerala 683562, India"
AGARAM KNITTERS,"No 4/571, Palladam Rd, Veerapandi, Tiruppur, Tamil Nadu 641605, India"
AGARMET INTERNATIONAL,
AGASH PLAST INDIA,India
AGATHY KNIT,
AGGARWAL TEXTILES,"1429, Gokal Rd, Chaura Bazar, Old Ludhiana, Ludhiana, Punjab 141008, India"
AGI APPARELS,
AGNI APPARELS,"60, Avinashi - Tiruppur Rd, Kumar Nagar, Park Avenue, Tiruppur, Tamil Nadu 641603, India"
AGNI EXPORTERS,"C Block Park, C-174, Hosiery Complex, Block C, Noida Phase-2, Phase-2, Noida, Uttar Pradesh 201305, India"
AGRO BROTHERS COIR CO.,"VCMC+GH, Veppampatti, Tamil Nadu 625534, India"
AGRO ENGINEERING&MACHINERIES,
AGRO PRODUCTS & AGENCIES,
AHEAD IMPEX,
AHILL KNIT EXPORTS,"Shed No. 30, Netaji Apparel Park New, Tiruppur, Tamil Nadu 641666, India"
AHLL KNIT EXPORTS\,"Shed No. 30, Netaji Apparel Park New, Tiruppur, Tamil Nadu 641666, India"
AIM OVERSEAS,"306/20 Rodborough Rd, Frenchs Forest NSW 2086, Australia"
AIR CARE ENGINEERING TECHNOLOGIES,
AIRLINES EXPORTS,
AISWARYA CASHEW COMPANY,
AJMI FLOUR MILL(I)P.LTD.,
AJWA EXPORTING CO.,
AKAY FLAVOURS & AROMATICS LTD.,"Akanadu, Mudakuzha P.O, Kurichilakodu, Akanad, Kochi, Vengoor West, Kerala 683546, India"
AKAY SPICES P.LTD.,
AKG INDIA P.LTD.,India
AKRUTHI APPARELS,"No. 54/4, v.s.s. Garden,, Sidco East Cross, Tiruppur - Kangayam Rd, Muthalipalayampiruvu, Tiruppur, Tamil Nadu 641606, India"
AKSHARA GARMENTS,"SF No. 12/3,4,5 - 13/1 - 21/1 , Sasthiri Nagar, Erangattur, Mettupalayam, Sathyamangalam - Mettupalayam Main Rd, South Rangasamuthram, Sathyamangalam, Tamil Nadu 638402, India"
AKSHAYA TEXTILE,
AL AHLI EXPORTERS,
AL BADRA SEAFOODS P.LTD.,
AL BARAKHA EXPORTS,
AL GLOBAL STAR,
AL HAR INTERNATIONAL,
AL KHATBI EXPORTS,
AL MASS INTERNATIONAL,"Baitul Mukkarram, Masjid St, Dhaka 1205, Bangladesh"
AL SAFEER EXPORTS,
AL-AMEEN EXPORTERS,
AL-AZIZ & COMPANY,
AL-GAYATHRI TRADING CO. P. LTD.,
AL-JAMIA ENTERPRISES,"RC-3, Prakash Nagar, Khora Colony, Indirapuram, Ghaziabad, Noida, Uttar Pradesh 201010, India"
AL-MELA MARKETING P.LTD.,
AL-NARZ RUBBERS,
AL-SADIQ IMPORT & EXPORT,"East Chakmadhobdi, Ward-5, মনোহরদী পৌরসভা 1650, Bangladesh"
AL-SHABIB TRADING CO.,10th Street - Industrial Area 2 - Industrial Area - Sharjah - United Arab Emirates
ALAGAR APPARELS,
ALAIJA RUBBER FACTORY,"5R6W+2FJ, Kashayapadi, Kozhikode, Feroke, Kerala 673631, India"
ALAN TECH INDISTRIAL SOLUTIONS,"Mookkannoor Ezhattumugham Rd, Mookkannoor, Kerala 683577, India"
ALBERTS ARTS COLLECTIONS,"X746+P3V, Jew Town Rd, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India"
ALEPHA ENTERPRISES,
ALEX MACHINES,"P838+CP5, Kottaram Jn. Rd, Kadakkarappally, Kerala 688529, India"
ALFFA PLASTICS,
ALGA INTERNATIONAL,
ALIES ESSENTIAL TRADING,
ALIF ENTERPRISES,
ALIF EXPORTS,"9 subhash nagar b/h amrapali cinema, Raiya Rd, Nehru Nagar, Rajkot, Gujarat 360007, India"
ALIF PACKS,
ALIFF EXIM,
ALIN CASHEW TRADERS,
ALINA AV ENTERPRISES,
ALIYA  CASHEW EXPORTS,
ALLAKKAT INTERNATIONAL,"P.O, Kommady, Thumpoly, Alappuzha, Aryad South, Kerala 688008, India"
ALLANASONS LTD.,
ALLEPPEY BALERS P.LTD.,"Alappuzha, Kerala, India"
ALLEPPEY CO. LTD.,"Alappuzha, Kerala, India"
ALLIED CASHEW INDUSTRIES,
ALLKOSHYS ALLSPICES,
ALOK INDUSTRIES,
ALPHA ENTERPRISES,
ALPHA EXPORTS,"Regus Business Center 2, Leonidze St., Liberty Square Tbilisi, T'bilisi 0105, Georgia"
ALPHA INTERNATIONAL,
ALPHACRAFT P.LTD.,
ALPHONSA CASHEW INDUSTRIES,"Puthoor, Kerala 691507, India"
ALPIN KNITS,
ALSTOM INSTRUMENT TRANSFORMER,
ALSTOM TRANSPORT,
ALUMINIUM INDUSTRIES LTD.,
AM SQUARE TRADE LINKS,
AMACO IMPEX P.LTD.,
AMAIN APPARELS INDIA P.LTD.,India
AMALGAM NUTRIENTS & FEEDS LTD.,
AMANATH ARAFATH APPARELS,
AMANCO FIRE & SAFETY,
AMAR EXPORTS,"Ground Floor Dinkson Avenue T N Shetty Lane, Avenue Road Cross, Kumbarpet, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India"
AMAR SINGH CHAWAL WALA,
AMAZING EXPORT CORPORATION,"SF.No:105,Valayankadu,P.Vadugapalayam Post, Palladam-Dharapuram Rd, Palladam, Tamil Nadu 641664, India"
AMBA EXPORTS,"J-175, DSIIDC Industrial Area, Sector 2, new delhi, New Delhi, Delhi, 110039, India"
AMBADI ENTERPRISES LTD.,
AMBAL CREATIONS,
AMBARAM TEMPLE CONSTRUCTIONS ,
AMBER INTERNATIONAL TRADING,
AMBICO INTEGRATED MARKETING,
AMBIKA COTTON MILLS LTD.,"15, Valluvar St, Sivananda Colony, Tatabad, Coimbatore, Tamil Nadu 641012, India"
AMBO EXPORTS  LTD.,
AMEEN EXPORTS & IMPORTS(P)LTD.,"23, Krishna Nagar main Rd, Ezhil Nagar South, Rainbow Nagar, Puducherry, 605003, India"
AMES FOODS PROCESSORS INDIA P.LTD.,India
AMMA WOODS P.LTD.,
AMRITA ENTERPRISES LTD.,
AMRUTHA ENTERPRISES,"47-3-9 Near Diamond Park, Sankara Matam Rd, Dondaparthy, Railway New Colony, Visakhapatnam, Andhra Pradesh 530016, India"
AMUL DEHYDRATION,"Kodinar highway,, Near-Silaj, Una, Gujarat 362560, India"
ANAND INTERNATIONAL,
ANAND TEX KNIT,
ANAND TEXTILES,"W8GX+FX8 Moopanpara, Valapattanam, Kerala 670011, India"
ANANDHA FABRICATIONS(CBE)P.LTD.,"Thudiyalur Rd, near Indian Oil Petrol Bunk, Saravanampatti, Coimbatore, Tamil Nadu 641006, India"
ANANKE INDIA P.LTD.,India
ANASWARA OFFSET P.LTD,"Edappally Raghavan Pillai Road, Junction, Perandoor, Elamakkara, Kochi, Kerala 682026, India"
ANCHUTHARA FOOD PRODUCTS,"MLA Rd, Poochakkal, Cherthala, Panavally, Kerala 688526, India"
ANCHUTHENGIL AGRI SUPPLY,"Anchuthengu, Kerala, India"
ANGEL CASHEWS,"2QHX+CR5, Thalavoor, Kerala 691560, India"
ANGELA COIR MILLS,
ANIL CASHEWS,
ANITA EXPORTS,
ANJALA EXPORTS,"VIP Nagar Pandian Nagar East Tiruppur, PN Rd, Mummoorthi Nagar, Tiruppur, Tamil Nadu 641602, India"
ANJANA EXPORTS,
ANJANEYA TRADERS,"Ganapa Nilaya, 37, SGR Dental College Rd, Maruthi Layout, Kasavanahalli Village, Marathahalli, Bengaluru, Karnataka 560037, India"
ANJEENA EXPORTS,"Bazar Salawat Khan Road, 9HXG+J63, near Chitni Talab, Bhadohi, Uttar Pradesh 221401, India"
ANJIPARAMBIL ASSOCIATES,"Parambithara Rd, Panampilly Nagar, Kochi, Kerala 682036, India"
ANN IMPEX HOUSE OF SPICES,
ANNA ALUMINIUM  COMPANY P.LTD.,
ANNA MALAI EXIM,
ANNAI SURAKSHA AGRO & COCONUT EXPORTS,
ANNS FLOOR DECORATION,
ANSWER MARK EXPORTS&IMPORTS P.LTD.,
ANTHONY GARMENTS,"No. 3, Athimarathottam, Sirupooluvapatti, Tiruppur, Tamil Nadu 641603, India"
ANTICHEM EQUIPMENT,
ANTON EXPORTS&IMPORTS,
ANU CASHEWS,
ANUGRAHA FASHION MILL P.LTD.,"Garmenting Division Unit-IINO.932 Dharapuram RoadVattamalai, PO, A.P, Pudur, Kangeyam, Tamil Nadu 638701, India"
ANUSAM APPARELS,"Vengamedu, Poyampalayam, Chettipalayam, Tiruppur, Tamil Nadu 641602, India"
ANUSHRI FASHION INDIA,"6R62+C94, Jeur, Maharashtra 414601, India"
APAGU TRADING,
APEX FASHION,
APEX MSTCH CONSORTIUM INDIA P.LTD.,India
APEX RUBBER,
APOLLO TYRES LTD.,
APPAREL WORLD,
AQUA CARE SYSTEMS,
AQUA GENO EXIM,"V872+GG9, Keltron Rd, Aroor gram panchayat, Kochi, Kerala 688534, India"
AQUA MARINE EXPORTS,
AQUA SEAFOOD(INDIA)P.LTD.,"22/1177, Aroor - Thoppumpady Rd, N.H. 47, Edakochi, Kochi, Kerala 682010, India"
AQUARELLE INDIA PVT LTD,"1, 1/1, Jigani Rd, Bommasandra Industrial Area, Bengaluru, Bommasandra, Karnataka 560099, India"
AQUASTAR MARINE FOODS,
AQUASUB ENGINEERING,
AQUATIC FISHERIES,
ARA MATS INTERNATIONAL,
ARAKU ORIGINALS LTD.,"Araku Valley, Andhra Pradesh, India"
ARANI EXPORTS,"Arani, Tamil Nadu, India"
ARANYA AYURVEDA VAIDYA,
ARASAN ALUMINIUM INDUSTRIES,"4, Thiruthangal Rd, Thiruthangal, Sivakasi, Tamil Nadu 626123, India"
ARASAN BUSINESS COMBINES P.LTD.,
ARASCO FRUIT PRODUCTS,
ARBEE AGENCIES,"Thattaveli Palam, Velloor, Kerala 686605, India"
ARC COIR YARN TRADING CO.,
AREM FASHIONS,"S.F.no 56, Dhanas industrial complex Kasipalayam, Main Rd, Kallangadu, Nallur, Tiruppur, Tamil Nadu 641606, India"
ARIANE TOOLS & COMPONENTS,
ARICIA INDIA INTERNATIONAL P.LTD.,India
ARIHANT APPARELS,"Shop No 3, Kalpana Building, Dadabhai Rd, Navpada, Kamala Nagar, Vile Parle West, Mumbai, Maharashtra 400056, India"
ARIKKAT EXPORTS,
ARJUNA NATURAL P.LTD.,
ARK GREASE AND LUBES,
ARKAY EXPORTS,
ARMSTRONG KNITTING MILLS (P) LTD.,"61-C, Saminathapuram 2nd street, Anupparpalayam, Velampalayam, Tiruppur, Tamil Nadu 641652, India"
ARNO FASHION,
AROMA HORTICULTURE,
AROMATIC  INGREDIENTS P.LTD.,
AROMATO EXIM P.LTD.,"458X+7CV, Olavara - Payyanur Rd, Thrikaripur, Kerala 670307, India"
ARROW KNITS,"8/823, Vigneshwara Nagar, Pooluvapatti, Tiruppur, Tamil Nadu 641603, India"
ARROW SOLUTIONS,
ARROW TEX,
ARS COMPACTERS,
ART YARN EXPORTS,"9th Floor, 'C' Wing, Godrej Coliseum, Behind Everard Nagar, Sion - Trombay Rd, GTB Nagar, Lalbaug, Sion East, Sion, Mumbai, Maharashtra 400022, India"
ARTH IMPEX,"B231, Prashant Vihar, Rohini, sector 14, B Block, Prashant Vihar, Sector 14, Rohini, New Delhi, Delhi, 110085, India"
ARUN REGA BAKERY  MACHINERIES P.LTD.,
ARVIND  LIFESTYLE BRANDS LTD.,
ARVIND GOOD HILL,
ARVIND LTD.,
ARYA EXPORTS,
ARYA WOODS,
ARYABHANGY,
ARYAS EXPORTS & IMPORTS,
ASHER HOME FASHION,
ASHIQUE CHEMICALS&COSMETICS,
ASHJOE COLD CHAIN ESTABLISHMENT,"Road, Aroor gram panchayat, Kochi, Kerala 688534, India"
ASHOK TRADE LINKS,
ASHOKA FASHION HANDLOOMS,
ASHRO TEXTILES PVT.LTD,
ASHTANGA VAIDYAM AYURVEDICS,
ASHWIN SPICES,
ASIA FOODS,
ASIA PACIFIC INTERNATIONAL,"8-Gokul Nagar, 50 Feet Rd, opp. Mayur Pan Street, near Patel Nagar, Parsana Society, Patel Nagar, Jangleshwar, Rajkot, Gujarat 360002, India"
ASIAN FOOD INDUSTRIES,"GSPC Gas Station, near C.N.G, Dabhan, Gujarat 387320, India"
ASIAN FRESH,
ASIAN OLEORESIN COMPANY,
ASIAN SPICES,
ASIAN TEA  EXPORTS LTD.,
ASIANN COIR PRODUCTS,
ASKER KNIT WEAR,"Asker, Norway"
ASMA RUBBER PRODUCTS P. LTD.,"Plot No. 39-B, CSEZ, Kakkanad, Kochi, Kakkanad, Kerala 682037, India"
ASPINWALL & CO. LTD.,"Aspinwall, PA 15215, USA"
ASSOCIATE POLYMERS,
ASSOCIATED CASHEW INDUSTRIES,
ASSOCIATED RUBBER CHEMICALS P.LTD.,
ASSOCIATED TRADERS,"14, Mannar St, T. Nagar, Chennai, Tamil Nadu 600017, India"
ASW EXPORTS,
ASWATH  CREATIONS,
ASWATH KNIT GARMENTS,
ASWATHI EXPORTS,"48Q6+8WF, Velampalayam, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India"
ASWATHY ENGINEERING WORKS,"Mukkam - Thiruvambady Rd, Agastiamuzhi, Mukkam, Thondimmal, Kerala 673582, India"
ASWIN ASSOCIATES,"XIII/831, Vikas Rd, Karuvelipady, Thoppumpady, Kochi, Kerala 682005, India"
AT & S INDIA,
AT HOME INDIA PVT LTD,India
ATC  TYRES P.LTD.,
ATCHAYA EXPORTS,"3A, Mariamman Koil St, Panruti, Thorapadi, Tamil Nadu 607106, India"
ATCHERRA IMPEX,"14B,PUTHUTHOTTAM, SBI Colony, NARAYANASWAMY NAGAR, Gandhinagar, Velampalayam, Tiruppur, Tamil Nadu 641603, India"
ATHAVAN APPARELS,
ATHAVAN CLOTHING COMPANY,"10/588E, Acc house mullai nagar Extn, Ganapathipalayam Rd, Chinnakarai, Tiruppur, Tamil Nadu 641605, India"
ATHEENA EXPORTS,
ATIRA DESIGNS P.LTD.,
ATLANTIC CARE CHEMICALS,"Industrial development plot, Punnapra North, Alappuzha, Kerala 688003, India"
ATLANTIC FABRICS,
ATLANTIC FOODS INDIA P.LTD.,India
ATLAS EXPORT ENTERPRISES,"V2P6+G5W, Thalapatti, Tamil Nadu 639003, India"
ATLAS EXPORTERS,
ATLAS MACHINE TOOLS,"Atlas House Kunnathurmedu, Menna Nagar Colony, Kalmandapam, Palakkad, Kerala 678013, India"
ATLAS STATIONERY INDIA PVT LTD,India
ATS ELGI LTD.,
ATTIRE CREATON CO.,"Creaton, Northampton NN6, UK"
ATTIRE INCORPORATED,
AUM EXPORTS,"School, M 803, Malabar County Rd, behind Nirma University Road, Chharodi, Ahmedabad, Gujarat 382350, India"
AURRUM ENTERPRISES(P)LTD.,
AUSIN GLOBAL TRADERS,
AUSTIN PARFETT ENGINEERING PVT LTD.,
AUTHENTIC EXPORTS,
AUTOFIT CAR INTERIORS P.LTD.,
AVA CONDIMENTS LLP,
AVATAAR TEXTREND,"Oberkasseler Str. 74, 40545 Düsseldorf, Germany"
AVEES FOODS,
AVIRAM KNITTERS,"2nd Street, No. 34-A, PN Rd, Kamaraj Nagar, Tiruppur, Tamil Nadu 641602, India"
AVIROMIC EXIM,
AVLA NETTOS EXPORTS,"WGJW+H82, Neendakara - Chinnakkada Rd, Sakthikulangara North, Kollam, Kerala 691581, India"
AVT MCCORMICK INGREDIENTS LTD.,
AVT NATURAL PRODUCTS LTD.,
AWA EXPORTS,"T2,Bharat city arcade, Vathukara St, Annamalai Nagar, Woraiyur, Tiruchirappalli, Tamil Nadu 620003, India"
AXIS ENGINEERING INDIA P.LTD.,India
AXIS INTERNATIONAL,
AY TEE CEE FOOTCARE,
AYKARA PHARMACEUTICALS,"2M96+9MP, Moonnumukku - Uppoodu Road, Mathilakom, Kizhakkekallada, Kerala 691502, India"
AYSHA CASHEW ,
AYSHA HOSIERY FACTORY P. LTD.,
AYUR PANCHAKARMA EQUIPMENTS,"Velichappat, 3/217 B, Poickattussery, Chengamanad PO Ernakulam District Nedumbassery kurumaseri Road 589P+397, Aluva - Mala Rd, Kerala 683578, Aluva, Kerala 683585, India"
AYURFERT,
AYUSH JYOTHI PANCHAKARMA EQUIPMENTS,
AZMI GARMENTS,
AZZAEEM FOOD PRODUCTS P.LTD.,
B.A.GARMENTS,"Bhayani Avenue, 5D Nazimabad No.5D, Block 5-D Block 5 D Block 5 Nazimabad, Karachi, Karachi City, Sindh 74600, Pakistan"
B.K.ENGINEERING,"826 Suffolk Ave, Brentwood, NY 11717, USA"
B.K.S. TEXTILES PRIVATE LTD,
B.K.S.MILLS,"#1858,B M Road,Chennapatna, Krishnaraja Pura, Bengaluru, Hassan, Karnataka 562160, India"
B.M.TEXTILES,"1850 NW 21st St, Miami, FL 33142, USA"
B.N.T. CONNECTIONS,"126, Nelson Manickam Rd, Collectorate Colony, Aminjikarai, Chennai, Tamil Nadu 600094, India"
B.P. EXPORTS,"1311, 25th Main Rd, Kottapalya, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041, India"
B.S. APPARELS,"50 সড়ক-৩, Dhaka 1230, Bangladesh"
B.S. INNOVATIONS,
B.S.RUBBERS,"IX/45-N INDUSTRIAL DEVELOPMENT PLOT, Poovanthuruthu, Kerala 686012, India"
B.S.TEX,
BABATHING INDIA,India
BABIN TECHNOLOGIES,"5V2R+RX3, Kakkanchery, Chelambra, Kerala 673636, India"
BABU COIR WORKS,"Pathirappally Omanappuzha Road, Pattukalam, Alappuzha, Kerala 688522, India"
BABU ENGINEERING,"3B, Kamban Street, 1st St N, Ramakrishnapuram, Saravanampatti, Siranandha Puram, Coimbatore, Tamil Nadu 641035, India"
BABY MARINE EASTERN EXPORTS,"Plot No. C-77-A2, C-77B1, Sipcot Industrial Comlex, Madathur, Udumalapetai, Madathur, Thoothukudi, Tamil Nadu 628008, India"
BABY MARINE EXPORTS,
BABY MARINE FOODS,
BABY MARINE INTERNATIONAL,"Thoppumpady, W7M8+59J, Thoppumpady, Kochi, Kerala 682005, India"
BABY MARINE PRODUCTS,
BABY MARINE SARASS,"XR5F+78X, New, New Mangalore, Industrial Area, Baikampady, Mangaluru, Karnataka 575011, India"
BAFNA ENTERPRISES,"V798+RQR, puthenthode, Kannamaly, Kochi, Kerala 682008, India"
BAGAVATHI APPARELS,"5, Angeripalayam Main Road, Jeeva Colony, Gandhi Nagar (PO), SBI Colony, Gandhinagar, Velampalayam, Titupur, Tiruppur, Tamil Nadu 641603, India"
BAGAVATHI KNIT GARMENTS,
BAGAVATHY EXPORTS,
BAJAJ ENTERPRISES,
BAJRANG IMPORT & EXPORTS,
BAKKHUS MERLOT INDUSTRIES,"D-47&48, Municipal Shopping Complex, AM Rd, Perumbavoor, Kerala 683542, India"
BALAJI ENTERPRISES,
BALAJI OVERSEAS,
BALAJI RENGANATHAN,
BALAKRISHNA ENGINEERING,"8 - A, Near DAR Kalyana Mandapam, Avinashi Rd, G K R Nagar, Civil Aerodrome Post, Rangasamy Gounden Pudur, Chinnampalayam, Tamil Nadu 641062, India"
BALAXI OVERSEAS P.LTD.,
BALU ENGINEERING INDUSTRIES,"2XHP+FRH, Avarampalayam, Illango Nagar, Coimbatore, Tamil Nadu 641006, India"
BAMS CONDIMENTS IMPEX (P) LTD.,
BANAN GLOBAL TRADING,"Room no.477-C, Gandhinagar West Kechery, Thalakottukara ,India.pin-680501, Kechery, Thalakottukara, Kerala 680501, India"
BARAKATH GARMENTS(INDIA)P.LTD.,India
BARAKATH TRADERS,"13a China St, Colombo 01300, Sri Lanka"
BARAMY EXPORTS,
BARKLAY ALLIANZ,
BARRAQ TRADING,
BASCO FOODS (INDIA )PVT. LTD ,"29Q2+WHJ, Edappally - Pukkattupady Rd, Kollamkudimugal, Kangarappady, Kochi, Kerala 682021, India"
BASF INDIA LTD.,
BASH-P INTERNATIONAL,"2947+MW7, Infopark Campus, Infopark, Kakkanad, Kerala 682030, India"
BAUMWOLLE CLOGTHING CO.,
BAWA EXPORTS,"Khasra No: 541, Abhaypura, Jagner Road, Agra, Uttar Pradesh 283102, India"
BAWA FISH MEAL & OIL CO.,
BAY PRINCE EXPORTS,
BCN TEX  P.LTD.,
BEACH SAND MINERALS,
BEEK COTTON CLOTHS,"Amarjothi Gardens, Railway Feeder Road, 485V+46W, Railway Feeder Road, Kannipiran Colony, Valipalayam, Tiruppur, Tamil Nadu 641601, India"
BEENA CASHEW CO.,
BEFFY CASHEW CO.,
BELL FOODS,"Pallichal Rd, Valummel, Kochi, Kerala 682005, India"
BENLION COIR INDUSTRIES,"2/509, Vanchiyapuram Pirivu, Suleeswaranpatti P.O, Pollachi, Annantha Nagar, Coimbatore, Tamil Nadu 642006, India"
BENSO GARMENTS,"pariyur amman nagar, Nochipalayam, Tiruppur, Tamil Nadu 641605, India"
BENZER TRADING INDIA P.LTD.,"Thiruvegappura, Pattambi, Thiruvegappura, Kerala 679304, India"
