Exporter Name,Address,District,State
ACCOLADE INTERNATIONAL INC.,"6/A, Jagannath Bhatankar Marg, Tata Mill Chawl, Gautam Nagar, Mumbai, Maharashtra 400014, India",Konkan Division,Maharashtra
ACE MANUFACTURING SYSTEMS LTD.,"467-469, 12th Cross Rd, 4th Phase, Peenya Industrial Area, Peenya Industrial Area Phase IV, Peenya, Bengaluru, Karnataka 560058, India",Bangalore Division,Karnataka
ACHUTHA ENTERPRISES,"bus stop, opp. malagala, 8 Block, Malagala, Marilingappa Extension, Naagarabhaavi, Bengaluru, Karnataka 560091, India",Bangalore Division,Karnataka
ACTIVE CHAR PRODUCTS P.LTD.,"Binanipuram, Edayar, Kochi, Kerala 683502, India",,Kerala
ADIDEV GROUP OF INDUSTRIES,"B No. B, 36, Ratanba School Rd, Bhagyoday Society, Thakkarbapanagar, Nikol, Ahmedabad, Gujarat 382350, India",,Gujarat
ADIL TEXTILES PVT LTD,"Mangalam, Tamil Nadu 641663, India",,Tamil Nadu
ADITI CREATION,"40, South St, Pethi Chetti Puram, Rayapuram, Tiruppur, Tamil Nadu 641601, India",,Tamil Nadu
ADORN GLASS ART,"Near Pampady Gramapanchayth, NH- 220, Pampady Road, Pampady, Kottayam, Pampady, Kerala 686502, India",,Kerala
ADRASH KNITWEAR,"No: 1/H, Avinashi - Tiruppur Rd, near BBC Petrol Pump, Thaneerpanthal, Anupparpalayam Pudur, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India",,Tamil Nadu
ADWAITH LAKSHMI INDUSTRIES LTD.,"114 A, Senthottam, Sowri Palayam, Coimbatore, Tamil Nadu 641028, India",,Tamil Nadu
AEON COMMODITIES,"11, RN Mukherjee Rd, Lal Bazar, Kolkata, West Bengal 700001, India",Presidency Division,West Bengal
AGAPPE DIAGNOSTICS LTD.,"Agappe Hills, Pattimattom PO, Kochi, Kerala 683562, India",,Kerala
AGARAM KNITTERS,"No 4/571, Palladam Rd, Veerapandi, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu
AGGARWAL TEXTILES,"1429, Gokal Rd, Chaura Bazar, Old Ludhiana, Ludhiana, Punjab 141008, India",Patiala Division,Punjab
AGNI APPARELS,"60, Avinashi - Tiruppur Rd, Kumar Nagar, Park Avenue, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu
AGNI EXPORTERS,"C Block Park, C-174, Hosiery Complex, Block C, Noida Phase-2, Phase-2, Noida, Uttar Pradesh 201305, India",Meerut Division,Uttar Pradesh
AGRO BROTHERS COIR CO.,"VCMC+GH, Veppampatti, Tamil Nadu 625534, India",,Tamil Nadu
AHILL KNIT EXPORTS,"Shed No. 30, Netaji Apparel Park New, Tiruppur, Tamil Nadu 641666, India",,Tamil Nadu
AHLL KNIT EXPORTS\,"Shed No. 30, Netaji Apparel Park New, Tiruppur, Tamil Nadu 641666, India",,Tamil Nadu
AIM OVERSEAS,"306/20 Rodborough Rd, Frenchs Forest NSW 2086, Australia",Northern Beaches Council,New South Wales
AKAY FLAVOURS & AROMATICS LTD.,"Akanadu, Mudakuzha P.O, Kurichilakodu, Akanad, Kochi, Vengoor West, Kerala 683546, India",,Kerala
AKRUTHI APPARELS,"2/140, Kovil Street, Mangalam Rd, S R Nagar, Tiruppur, Tamil Nadu 641687, India",,Tamil Nadu
AKSHARA GARMENTS,"SF No. 12/3,4,5 - 13/1 - 21/1 , Sasthiri Nagar, Erangattur, Mettupalayam, Sathyamangalam - Mettupalayam Main Rd, South Rangasamuthram, Sathyamangalam, Tamil Nadu 638402, India",,Tamil Nadu
AL MASS INTERNATIONAL,"Baitul Mukkarram, Masjid St, Dhaka 1205, Bangladesh",Dhaka District,Dhaka Division
AL-JAMIA ENTERPRISES,"RC-3, Prakash Nagar, Khora Colony, Indirapuram, Ghaziabad, Noida, Uttar Pradesh 201010, India",Meerut Division,Uttar Pradesh
AL-SADIQ IMPORT & EXPORT,"East Chakmadhobdi, Ward-5, মনোহরদী পৌরসভা 1650, Bangladesh",নরসিংদী জেলা,ঢাকা বিভাগ
AL-SHABIB TRADING CO.,10th Street - Industrial Area 2 - Industrial Area - Sharjah - United Arab Emirates,,Sharjah
ALAIJA RUBBER FACTORY,"5R6W+2FJ, Kashayapadi, Kozhikode, Feroke, Kerala 673631, India",,Kerala
ALAN TECH INDISTRIAL SOLUTIONS,"Mookkannoor Ezhattumugham Rd, Mookkannoor, Kerala 683577, India",,Kerala
ALBERTS ARTS COLLECTIONS,"X746+P3V, Jew Town Rd, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",,Kerala
ALEX MACHINES,"P838+CP5, Kottaram Jn. Rd, Kadakkarappally, Kerala 688529, India",,Kerala
ALIF EXPORTS,"5, Kalar Street, Sulthanpet, Puducherry 605110, India",,Puducherry
ALLAKKAT INTERNATIONAL,"P.O, Kommady, Thumpoly, Alappuzha, Aryad South, Kerala 688008, India",,Kerala
ALLEPPEY BALERS P.LTD.,"Alappuzha, Kerala, India",,Kerala
ALLEPPEY CO. LTD.,"Alappuzha, Kerala, India",,Kerala
ALPHA EXPORTS,"Regus Business Center 2, Leonidze St., Liberty Square Tbilisi, T'bilisi 0105, Georgia",,Tbilisi
ALPHONSA CASHEW INDUSTRIES,"Puthoor, Kerala 691507, India",,Kerala
AMAR EXPORTS,"Ground Floor Dinkson Avenue T N Shetty Lane, Avenue Road Cross, Kumbarpet, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",Bangalore Division,Karnataka
AMAZING EXPORT CORPORATION,"SF.No:105,Valayankadu,P.Vadugapalayam Post, Palladam-Dharapuram Rd, Palladam, Tamil Nadu 641664, India",,Tamil Nadu
AMBA EXPORTS,"J-175, DSIIDC Industrial Area, Sector 2, new delhi, New Delhi, Delhi, 110039, India",Delhi Division,Delhi
AMBIKA COTTON MILLS LTD.,"15, Valluvar St, Sivananda Colony, Tatabad, Coimbatore, Tamil Nadu 641012, India",,Tamil Nadu
AMEEN EXPORTS & IMPORTS(P)LTD.,"23, Krishna Nagar main Rd, Ezhil Nagar South, Rainbow Nagar, Puducherry, 605003, India",,Puducherry
AMRUTHA ENTERPRISES,"47-3-9 Near Diamond Park, Sankara Matam Rd, Dondaparthy, Railway New Colony, Visakhapatnam, Andhra Pradesh 530016, India",,Andhra Pradesh
AMUL DEHYDRATION,"Kodinar highway,, Near-Silaj, Una, Gujarat 362560, India",,Gujarat
ANAND TEXTILES,"W8GX+FX8 Moopanpara, Valapattanam, Kerala 670011, India",,Kerala
ANANDHA FABRICATIONS(CBE)P.LTD.,"Thudiyalur Rd, near Indian Oil Petrol Bunk, Saravanampatti, Coimbatore, Tamil Nadu 641006, India",,Tamil Nadu
ANASWARA OFFSET P.LTD,"Edappally Raghavan Pillai Road, Junction, Perandoor, Elamakkara, Kochi, Kerala 682026, India",,Kerala
ANCHUTHARA FOOD PRODUCTS,"MLA Rd, Poochakkal, Cherthala, Panavally, Kerala 688526, India",,Kerala
ANCHUTHENGIL AGRI SUPPLY,"Anchuthengu, Kerala, India",,Kerala
ANGEL CASHEWS,"2QHX+CR5, Thalavoor, Kerala 691560, India",,Kerala
ANJALA EXPORTS,"VIP Nagar Pandian Nagar East Tiruppur, PN Rd, Mummoorthi Nagar, Tiruppur, Tamil Nadu 641602, India",,Tamil Nadu
ANJANEYA TRADERS,"Ganapa Nilaya, 37, SGR Dental College Rd, Maruthi Layout, Kasavanahalli Village, Marathahalli, Bengaluru, Karnataka 560037, India",Bangalore Division,Karnataka
ANJEENA EXPORTS,"Bazar Salawat Khan Road, 9HXG+J63, near Chitni Talab, Bhadohi, Uttar Pradesh 221401, India",Mirzapur Division,Uttar Pradesh
ANJIPARAMBIL ASSOCIATES,"Parambithara Rd, Panampilly Nagar, Kochi, Kerala 682036, India",,Kerala
ANTHONY GARMENTS,"No. 3, Athimarathottam, Sirupooluvapatti, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu
ANUGRAHA FASHION MILL P.LTD.,"Garmenting Division Unit-IINO.932 Dharapuram RoadVattamalai, PO, A.P, Pudur, Kangeyam, Tamil Nadu 638701, India",,Tamil Nadu
ANUSAM APPARELS,"Vengamedu, Poyampalayam, Chettipalayam, Tiruppur, Tamil Nadu 641602, India",,Tamil Nadu
ANUSHRI FASHION INDIA,"6R62+C94, Jeur, Maharashtra 414601, India",Nashik Division,Maharashtra
AQUA GENO EXIM,"V872+GG9, Keltron Rd, Aroor gram panchayat, Kochi, Kerala 688534, India",,Kerala
AQUA SEAFOOD(INDIA)P.LTD.,"22/1177, Aroor - Thoppumpady Rd, N.H. 47, Edakochi, Kochi, Kerala 682010, India",,Kerala
AQUARELLE INDIA PVT LTD,"1, 1/1, Jigani Rd, Bommasandra Industrial Area, Bengaluru, Bommasandra, Karnataka 560099, India",Bangalore Division,Karnataka
ARAKU ORIGINALS LTD.,"Araku Valley, Andhra Pradesh, India",,Andhra Pradesh
ARANI EXPORTS,"Arani, Tamil Nadu, India",,Tamil Nadu
ARASAN ALUMINIUM INDUSTRIES,"4, Thiruthangal Rd, Thiruthangal, Sivakasi, Tamil Nadu 626123, India",,Tamil Nadu
ARBEE AGENCIES,"Thattaveli Palam, Velloor, Kerala 686605, India",,Kerala
AREM FASHIONS,"S.F.no 56, Dhanas industrial complex Kasipalayam, Main Rd, Kallangadu, Nallur, Tiruppur, Tamil Nadu 641606, India",,Tamil Nadu
ARIHANT APPARELS,"Shop No 3, Kalpana Building, Dadabhai Rd, Navpada, Kamala Nagar, Vile Parle West, Mumbai, Maharashtra 400056, India",Konkan Division,Maharashtra
ARMSTRONG KNITTING MILLS (P) LTD.,"61-C, Saminathapuram 2nd street, Anupparpalayam, Velampalayam, Tiruppur, Tamil Nadu 641652, India",,Tamil Nadu
AROMATO EXIM P.LTD.,"458X+7CV, Olavara - Payyanur Rd, Thrikaripur, Kerala 670307, India",,Kerala
ARROW KNITS,"8/823, Vigneshwara Nagar, Pooluvapatti, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu
ART YARN EXPORTS,"9th Floor, 'C' Wing, Godrej Coliseum, Behind Everard Nagar, Sion - Trombay Rd, GTB Nagar, Lalbaug, Sion East, Sion, Mumbai, Maharashtra 400022, India",Konkan Division,Maharashtra
ARTH IMPEX,"B231, Prashant Vihar, Rohini, sector 14, B Block, Prashant Vihar, Sector 14, Rohini, New Delhi, Delhi, 110085, India",Delhi Division,Delhi
ASHJOE COLD CHAIN ESTABLISHMENT,"Road, Aroor gram panchayat, Kochi, Kerala 688534, India",,Kerala
ASIA PACIFIC INTERNATIONAL,"8-Gokul Nagar, 50 Feet Rd, opp. Mayur Pan Street, near Patel Nagar, Parsana Society, Patel Nagar, Jangleshwar, Rajkot, Gujarat 360002, India",,Gujarat
ASIAN FOOD INDUSTRIES,"GSPC Gas Station, near C.N.G, Dabhan, Gujarat 387320, India",,Gujarat
ASKER KNIT WEAR,"Asker, Norway",,Akershus
ASMA RUBBER PRODUCTS P. LTD.,"Plot No. 39-B, CSEZ, Kakkanad, Kochi, Kakkanad, Kerala 682037, India",,Kerala
ASPINWALL & CO. LTD.,"Aspinwall, PA 15215, USA",Allegheny County,Pennsylvania
ASSOCIATED TRADERS,"14, Mannar St, T. Nagar, Chennai, Tamil Nadu 600017, India",,Tamil Nadu
ASWATHI EXPORTS,"48Q6+8WF, Velampalayam, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India",,Tamil Nadu
ASWATHY ENGINEERING WORKS,"Mukkam - Thiruvambady Rd, Agastiamuzhi, Mukkam, Thondimmal, Kerala 673582, India",,Kerala
ASWIN ASSOCIATES,"XIII/831, Vikas Rd, Karuvelipady, Thoppumpady, Kochi, Kerala 682005, India",,Kerala
ATCHAYA EXPORTS,"3A, Mariamman Koil St, Panruti, Thorapadi, Tamil Nadu 607106, India",,Tamil Nadu
ATCHERRA IMPEX,"14B,PUTHUTHOTTAM, SBI Colony, NARAYANASWAMY NAGAR, Gandhinagar, Velampalayam, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu
ATHAVAN CLOTHING COMPANY,"10/588E, Acc house mullai nagar Extn, Ganapathipalayam Rd, Chinnakarai, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu
ATLANTIC CARE CHEMICALS,"Industrial development plot, Punnapra North, Alappuzha, Kerala 688003, India",,Kerala
ATLAS EXPORT ENTERPRISES,"V2P6+G5W, Thalapatti, Tamil Nadu 639003, India",,Tamil Nadu
ATLAS MACHINE TOOLS,"Atlas House Kunnathurmedu, Menna Nagar Colony, Kalmandapam, Palakkad, Kerala 678013, India",,Kerala
ATTIRE CREATON CO.,"Creaton, Northampton NN6, UK",Northamptonshire,England
AUM EXPORTS,"School, M 803, Malabar County Rd, behind Nirma University Road, Chharodi, Ahmedabad, Gujarat 382350, India",,Gujarat
AVATAAR TEXTREND,"Oberkasseler Str. 74, 40545 Düsseldorf, Germany",Düsseldorf,Nordrhein-Westfalen
AVIRAM KNITTERS,"2nd Street, No. 34-A, PN Rd, Kamaraj Nagar, Tiruppur, Tamil Nadu 641602, India",,Tamil Nadu
AVLA NETTOS EXPORTS,"WGJW+H82, Neendakara - Chinnakkada Rd, Sakthikulangara North, Kollam, Kerala 691581, India",,Kerala
AWA EXPORTS,"T2,Bharat city arcade, Vathukara St, Annamalai Nagar, Woraiyur, Tiruchirappalli, Tamil Nadu 620003, India",,Tamil Nadu
AYKARA PHARMACEUTICALS,"2M96+9MP, Moonnumukku - Uppoodu Road, Mathilakom, Kizhakkekallada, Kerala 691502, India",,Kerala
AYUR PANCHAKARMA EQUIPMENTS,"Velichappat, 3/217 B, Poickattussery, Chengamanad PO Ernakulam District Nedumbassery kurumaseri Road 589P+397, Aluva - Mala Rd, Kerala 683578, Aluva, Kerala 683585, India",,Kerala
B.A.GARMENTS,"Bhayani Avenue, 5D Nazimabad No.5D, Block 5-D Block 5 D Block 5 Nazimabad, Karachi, Karachi City, Sindh 74600, Pakistan",Karachi City,Sindh
B.K.ENGINEERING,"826 Suffolk Ave, Brentwood, NY 11717, USA",Suffolk County,New York
B.K.S.MILLS,"#1858,B M Road,Chennapatna, Krishnaraja Pura, Bengaluru, Hassan, Karnataka 562160, India",Mysore Division,Karnataka
B.M.TEXTILES,"1850 NW 21st St, Miami, FL 33142, USA",Miami-Dade County,Florida
B.N.T. CONNECTIONS,"126, Nelson Manickam Rd, Collectorate Colony, Aminjikarai, Chennai, Tamil Nadu 600094, India",,Tamil Nadu
B.P. EXPORTS,"1311, 25th Main Rd, Kottapalya, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041, India",Bangalore Division,Karnataka
B.S. APPARELS,"50 সড়ক-৩, Dhaka 1230, Bangladesh",Dhaka District,Dhaka Division
B.S.RUBBERS,"IX/45-N INDUSTRIAL DEVELOPMENT PLOT, Poovanthuruthu, Kerala 686012, India",,Kerala
BABIN TECHNOLOGIES,"5V2R+RX3, Kakkanchery, Chelambra, Kerala 673636, India",,Kerala
BABU COIR WORKS,"Pathirappally Omanappuzha Road, Pattukalam, Alappuzha, Kerala 688522, India",,Kerala
BABU ENGINEERING,"3B, Kamban Street, 1st St N, Ramakrishnapuram, Saravanampatti, Siranandha Puram, Coimbatore, Tamil Nadu 641035, India",,Tamil Nadu
BABY MARINE EASTERN EXPORTS,"Plot No. C-77-A2, C-77B1, Sipcot Industrial Comlex, Madathur, Udumalapetai, Madathur, Thoothukudi, Tamil Nadu 628008, India",,Tamil Nadu
BABY MARINE INTERNATIONAL,"Thoppumpady, W7M8+59J, Thoppumpady, Kochi, Kerala 682005, India",,Kerala
BABY MARINE SARASS,"XR5F+78X, New, New Mangalore, Industrial Area, Baikampady, Mangaluru, Karnataka 575011, India",Mysore Division,Karnataka
BAFNA ENTERPRISES,"V798+RQR, puthenthode, Kannamaly, Kochi, Kerala 682008, India",,Kerala
BAGAVATHI APPARELS,"5, Angeripalayam Main Road, Jeeva Colony, Gandhi Nagar (PO), SBI Colony, Gandhinagar, Velampalayam, Titupur, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu
BAKKHUS MERLOT INDUSTRIES,"D-47&48, Municipal Shopping Complex, AM Rd, Perumbavoor, Kerala 683542, India",,Kerala
BALAKRISHNA ENGINEERING,"1/93, Mylampatti Post, near, Chinnampalayam, Coimbatore, Mylampatti, Tamil Nadu 641062, India",,Tamil Nadu
BALU ENGINEERING INDUSTRIES,"2XHP+FRH, Avarampalayam, Illango Nagar, Coimbatore, Tamil Nadu 641006, India",,Tamil Nadu
BANAN GLOBAL TRADING,"Room no.477-C, Gandhinagar West Kechery, Thalakottukara ,India.pin-680501, Kechery, Thalakottukara, Kerala 680501, India",,Kerala
BARAKATH TRADERS,"13a China St, Colombo 01300, Sri Lanka",Colombo,Western Province
BASCO FOODS (INDIA )PVT. LTD ,"29Q2+WHJ, Edappally - Pukkattupady Rd, Kollamkudimugal, Kangarappady, Kochi, Kerala 682021, India",,Kerala
BASH-P INTERNATIONAL,"2947+MW7, Infopark Campus, Infopark, Kakkanad, Kerala 682030, India",,Kerala
BAWA EXPORTS,"Khasra No: 541, Abhaypura, Jagner Road, Agra, Uttar Pradesh 283102, India",Agra Division,Uttar Pradesh
BEEK COTTON CLOTHS,"Amarjothi Gardens, Railway Feeder Road, 485V+46W, Railway Feeder Road, Kannipiran Colony, Valipalayam, Tiruppur, Tamil Nadu 641601, India",,Tamil Nadu
BELL FOODS,"Pallichal Rd, Valummel, Kochi, Kerala 682005, India",,Kerala
BENLION COIR INDUSTRIES,"2/509, Vanchiyapuram Pirivu, Suleeswaranpatti P.O, Pollachi, Annantha Nagar, Coimbatore, Tamil Nadu 642006, India",,Tamil Nadu
BENSO GARMENTS,"pariyur amman nagar, Nochipalayam, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu
BENZER TRADING INDIA P.LTD.,"Thiruvegappura, Pattambi, Thiruvegappura, Kerala 679304, India",,Kerala
BESCOAT,"Ambalathinkara, Kerala 671531, India",,Kerala
BETHANYA CASHEW COMPANY,"Mavady Post, Enathu Puthoor Rd, Kerala 691507, India",,Kerala
BETHEN PLANTATIONS,"Glenmary Estate, Peerumade (PO), HXGG+78G, Peermade, Idukki, Kuttikkanam, Kerala 685531, India",,Kerala
BETHSAIDA CASHEW COMPANY,"Kollam Kerala, Kerala 691507, India",,Kerala
BHAGYAM EXPORTS,"55, GNG St, Varadaraja Puram, Ambattur, Chennai, Tamil Nadu 600053, India",,Tamil Nadu
BHARATH PAPER CONVERSIONS,"No. 40, 5th Cross, Bharathi Park Rd, Periyar Nagar, Anna Nagar, Coimbatore, Tamil Nadu 641043, India",,Tamil Nadu
BHAVANI FOOD INDUSTRIES,"9HR7+5RM, Thiruvalla, Kerala 689101, India",,Kerala
BIG DRUM INDIA PVT LTD,"Unnamed Road, MCGX+CR6, Venkappanadoddi, Karnataka 562112, India",Bangalore Division,Karnataka
BIJU MODERN RICE MILL,"Oottara, Kollengode, JPH2+7X8, Panangattiri, Kerala 678504, India",,Kerala
BILVA TECHNOLOGIES,"Plot No.257, Sompura Industrial Area 1st Stage, Bengaluru Rural Dist, Nidavanda, Karnataka 562132, India",Bangalore Division,Karnataka
BIPIN EXPORTS,"20, Kongu Main Rd, SNVS Layout, Muthu Nagar, Renganatha Puram, Tiruppur, Tamil Nadu 641607, India",,Tamil Nadu
BIRIN GARMENTS,"57PJ+26C, SH19, Kaikattipudhur, Avinashi, Tamil Nadu 641654, India",,Tamil Nadu
BISMI CASHEWS,"Sengeni Ammal St, Panruti, Tamil Nadu 607106, India",,Tamil Nadu
BISMI TRADING COMPANY,"EEC Market, Market P.O, Vazhappily, Muvattupuzha, Kerala 686673, India",,Kerala
BISMILLAH AGRI COMMODITIES,"HMD BUILDING, 18/1640, Karicode, Koikkal, Kollam, Kerala 691004, India",,Kerala
BISMILLAH AGRO,"Bagha, 2257, Bangladesh",Sylhet District,Sylhet Division
BLASTLINE  INDIA,"48/2510D4, 2nd Floor, Blastline Corporate Chamber,Pottakuzhi Elamakkakara (PO, Perandoor Rd, Mamangalam, Kaloor, Ernakulam, Kochi, Kerala 682026, India",,Kerala
BLOOMS ENGINEERING,"682 F, Mundur, Thrissur, Kerala 680541, India",,Kerala
BLOOMS ENTERPRISES,"VW44+P65, Nugegoda, Sri Lanka",Colombo,Western Province
BLOSSOM APPARELS,"1058, Munusamy Salai, KK Nagar West, K. K. Nagar, Chennai, Tamil Nadu 600078, India",,Tamil Nadu
BLUE BREEZE ENTERPRISE,"SIDCO, Tamil Nadu 641606, India",,Tamil Nadu
BLUE MOUNTAIN TEA & COMMODITIES P.LTD.,"167 Hurontario St, Collingwood, ON L9Y 2M1, Canada",Simcoe County,Ontario
BLUEMOUNTAIN EXPORTERS,"14/486, East, Pandikudy, Chullickal, Kochi, Kerala 682001, India",,Kerala
BOLA RAGHAVENDRA KAMATH & SONS,"Bola Raghavendra Kamath circle, Joduraste, Kukkundoor, Karkala, Karnataka 576117, India",Mysore Division,Karnataka
BOS NATURAL FLAVORS P.LTD.,"Asian House” P.P Road, Pathipalam Allapra (P.O, Perumbavoor Puthencruz Rd, Perumbavoor, Kerala 683553, India",,Kerala
BOSE EXPORTS,"48FH+P3M, Asher Nagar 60 Feet Rd, Valayankadu South, Tiruppur, Tamil Nadu 641603, India",,Tamil Nadu
BRIGHT ENGINEERING COMPANY,"lakshmi, Ganesh Nagar 3rd St, Lakshmi Nagar, Koundampalayam, Coimbatore, Tamil Nadu 641030, India",,Tamil Nadu
BRITE GARMENTS,"47/1, Periyar St, Erode, Tamil Nadu 638003, India",,Tamil Nadu
BROS INDIA GROUP,"J9C6+WCC, Kayippuram, Muhamma, Kerala 688525, India",,Kerala
BUSTHAN AL WATHANIYA,"P9V4+QVH, Pallipuram, Kerala 688541, India",,Kerala
C.K. ENTERPRISES,"1992 NW US Hwy 50, Lone Jack, MO 64070, USA",Johnson County,Missouri
C.P. EXPORTS,"56, S Car St, Teppam South Bazar, Anna Nagar, Virudhunagar, Tamil Nadu 626001, India",,Tamil Nadu
C.R.GARMENTS,"330/1, Sri Gokula Krishna Nagar Tkt Mills, Palladam Road, Tiruppur - Palladam Rd, AB Nagar, Tiruppur, Tamil Nadu 641605, India",,Tamil Nadu
C.R.I.RUBBERS,"XI /799, VIJAYAPURAM, Vadavathoor, Kottayam, Kerala 686010, India",,Kerala
C.S. GARMENTS,"42, Karumarampalayam Rd, Karumarpalayam, Mannarai, Tiruppur, Tamil Nadu 641607, India",,Tamil Nadu
C.V.S.EXPORTS,"28/4, Millers Rd, Kilpauk, Chennai, Tamil Nadu 600010, India",,Tamil Nadu
CALMET ENGINEERING,"3/176, SS no - 419/5D, Maniyavi Thottam West Arasur, SulurTaluk, Amman Nagar, Coimbatore, Tamil Nadu 641407, India",,Tamil Nadu
CALTECH POLYMERS P.LTD.,"1200 E California Blvd, Pasadena, CA 91125, USA",Los Angeles County,California
CANDOUR TEXPORT,"103, Street, Kozhipannai, Andipalayam, Tiruppur, Tamil Nadu 641687, India",,Tamil Nadu
CANNANORE HANDLOOM EXPORTS,"V9FW+8MW, Elayavoor, Kerala 670005, India",,Kerala
CANNANORE HOME FURNISHINGS,"Manuelsons, Complex, GH Rd, Mananchira, Kozhikode, Kerala 673001, India",,Kerala
CANNING INDS. COCHIN LTD.,"G65M+4WR, Caico Rd, Maveli Nagar, Unity Nagar, Kuriachira, Thrissur, Kerala 680006, India",,Kerala
CANON BALL FASHIONS,"5C6J+J64, Kavandampalayam, Tamil Nadu 638752, India",,Tamil Nadu
CAPITAL EXPORTS,"3924 Pulaski Hwy, Abingdon, MD 21009, USA",Harford County,Maryland
CARONA KNITWEAR,"1,Bridgeway Colony, Extention North, Bridge Way Colony Extension, Tiruppur, Tamil Nadu 641607, India",,Tamil Nadu
CARRIS PIPES,"P.B. No.2, Koovappady P.O, Akanad, Kerala 683544, India",,Kerala
CAT COIR,"Coir park 1 Thiruvizha North Road, Post, Mayithara, Cherthala South, Kerala 688539, India",,Kerala
CATHOLIC ART CENTRE,"Broadway, Church St, Marine Drive, Ernakulam, Kochi, Kerala 682031, India",,Kerala
